;District RUS;Region RUS;Район RUS;City RUS;ШИРОТА google;ДОЛГОТА google;Актуален М;Актуален В;Актуален Е;;
1963;СФО;Омская область;Знаменский;Знаменское;57.133;73.816;0;1;0;1;1
1976;СФО;Чеченская Республика;Надтеречный;Знаменское;43.683;45.116;0;0;1;1;1
1978;ДФО;Сахалинская область;Тымовский;Зональное;50.666;142.75;0;1;0;1;1
2017;ДФО;Республика Саха (Якутия);Верхнеколымский;Зырянка;65.733;150.9;0;1;1;2;1
2096;ЦФО;Ивановская область;Ивановский;Иваново;57;40.966;0;0;1;1;1
2098;ЦФО;Ивановская область;Родниковский;Иваново;57.216;41.683;0;1;0;1;1
2120;СФО;Красноярский край;Диксонский;Игарка;67.466;86.566;0;1;1;2;1
2121;УФО;Тюменская область;Березовский;Игрим;63.183;64.416;0;1;1;2;1
2122;СФО;Красноярский край;Идринский;Идринское;54.366;92.133;0;0;1;1;1
2123;ПФО;Удмуртская Республика;Красногорский;Ижевск;56.85;53.233;1;1;1;3;1
2127;СФО;Кемеровская область;Ижморский;Ижморский;56.183;86.633;0;0;1;1;1
2152;ПФО;Республика Марий Эл;Медведевский;Йошкар-Ола;56.633;47.883;0;1;1;2;1
2156;СФО;Красноярский край;Ирбейский;Ирбейское;55.633;95.466;0;0;1;1;1
2158;СФО;Иркутская область;Иркутский;Иркутск;52.266;104.4;0;1;1;2;1
2163;СФО;Кемеровская область;Новокузнецкий;Исаево;54.533;87.5;0;1;1;2;1
2174;ДФО;Магаданская область;Иультинский;Иультин;67.883;162.7;0;0;1;1;1
2178;УФО;Тюменская область;Ишимский;Ишим;56.1;69.433;0;1;0;1;1
2181;ДФО;Приморский край;Кавалеровский;Кавалерово;44.25;135.5;0;0;1;1;1
2186;ЮФО;Ростовская область;Верхнедонской;Казанская;49.8;41.15;0;1;0;1;1
2189;ПФО;Республика Татарстан;Октябрьский;Казань;55.816;49.133;1;1;1;3;1
2191;СФО;Иркутская область;Казачинско-Ленский;Казачинское;56.266;107.6;0;0;1;1;1
2198;УФО;Тюменская область;Белоярский;Казым;63.716;67.233;0;0;1;1;1
2206;СФО;Забайкальский край;Калганский;Калга;50.916;118.9;0;1;0;1;1
2207;СЗФО;Республика Карелия;Калевальский;Калевала;65.216;31.166;0;1;0;1;1
2220;СЗФО;Калининградская область;;Калининград;54.71666667;20.5;0;1;1;2;1
2282;ЦФО;Калужская область;Кировский;Калуга;54.516;36.266;1;0;0;1;1
2371;ЮФО;Ростовская область;Каменский;Каменск-Шахтинский;48.3;40.3;0;1;0;1;1
2372;СФО;Алтайский край;Крутихинский;Камень-на-Оби;53.816;81.266;0;1;1;2;1
2379;ЮФО;Волгоградская область;Камышинский;Камышин;50.66;45.366;0;0;1;1;1
2388;СФО;Красноярский край;Канский;Канск;56.2;95.633;0;1;1;2;1
2406;ПФО;Удмуртская Республика;Каракулинский;Каракулино;56.16;53.716;0;0;1;1;1
2407;УФО;Челябинская область;Октябрьский;Каракульское;54.66;62.433;0;1;0;1;1
2408;СФО;Иркутская область;Казачинско-Ленский;Карам;55.15;107.616;0;0;1;1;1
2410;СФО;Новосибирская область;Карасукский;Карасук;53.7;78.66;0;1;0;1;1
2414;СФО;Красноярский край;Каратузский;Каратузское;53.6;92.85;0;0;1;1;1
2421;СФО;Республика Тыва;Бай-Тайгинский;Кара-Холь;51.283;89.766;0;0;1;1;1
2424;СФО;Томская область;Каргасокский;Каргасок;59.5;80.866;0;1;1;2;1
2426;СЗФО;Архангельская область;Каргопольский;Каргополь;61.5;38.933;0;0;1;1;1
2433;СЗФО;Архангельская область;Пинежский;Карпогоры;63.983;44.45;0;0;1;1;1
2437;ЦФО;Рязанская область;Касимовский;Касимов;54.933;41.4;0;0;1;1;1
2446;СФО;Иркутская область;Качугский;Качуг;53.966;105.9;0;1;1;2;1
2459;СФО;Красноярский край;Кежемский;Кежма;58.983;101.15;0;1;1;2;1
2461;СФО;Кемеровская область;Кемеровский;Кемерово;55.233;86.116;0;1;1;2;1
2467;ДФО;Приморский край;Лазовский;Киевка;42.9;133.7;0;0;1;1;1
2494;СФО;Иркутская область;Киренский;Киренск;57.766;108.66;0;1;1;2;1
2503;ПФО;Кировская область;Кирово-Чепецкий;Киров;58.6;49.633;0;1;1;2;1
2508;СЗФО;Ленинградская область;Кировский;Кировск;59.866;31;0;1;0;1;1
2509;СЗФО;Мурманская область;Кольский;Кировск;67.616;33.666;0;0;1;1;1
2523;СЗФО;Вологодская область;Кичменгско-Городецкий;Кичменгский Городок;59.983;45.8;0;0;1;1;1
2576;СФО;Томская область;Верхнекетский;Клюквенка;58.533;85.85;0;0;1;1;1
2578;СФО;Алтайский край;Ключевский;Ключи;52.25;79.133;0;0;1;1;1
2675;ПФО;Республика Марий Эл;Советский;Козьмодемьянск;56.333;46.583;0;0;1;1;1
2689;СФО;Красноярский край;Енисейский;Колмогорово;59.266;91.3;0;0;1;1;1
2696;СФО;Омская область;Колосовский;Колосовка;56.45;73.65;0;1;0;1;1
2699;СФО;Томская область;Колпашевский;Колпашево;58.316;82.95;0;1;1;2;1
2700;СФО;Алтайский край;Курьинский;Колывань;51.3;82.566;0;0;1;1;1
2701;СФО;Новосибирская область;Колыванский;Колывань;55.3;82.75;0;1;0;1;1
2771;ДФО;Хабаровский край;Комсомольский;Комсомольск-на-Амуре;50.6;137.33;0;1;1;2;1
2775;УФО;Тюменская область;Кондинский;Кондинское;59.666;67.416;0;1;0;1;1
2779;ЮФО;Ростовская область;Константиновский;Константиновск;47.583;41.1;0;1;0;1;1
2812;ЦФО;Костромская область;Костромской;Кострома;57.766;40.933;0;1;1;2;1
2825;СЗФО;Архангельская область;Котласский;Котлас;61.233;46.716;0;1;1;2;1
2856;СФО;Новосибирская область;Коченевский;Кочки;54.3;80.5;0;1;0;1;1
2859;СФО;Кемеровская область;Крапивинский;Крапивинский;55;86.816;0;0;1;1;1
2863;ДФО;Приморский край;Хасанский;Краскино;42.716;130.766;0;0;1;1;1
2884;ЮФО;Краснодарский край;Сочинский;Красная Поляна;43.683;40.216;0;0;1;1;1
2908;СЗФО;Архангельская область;Красноборский;Красноборск;61.566;45.916;0;0;1;1;1
2918;ПФО;Удмуртская Республика;Красногорский;Красногорское;57.7;52.5;0;0;1;1;1
2922;ЮФО;Краснодарский край;Туапсинский;Краснодар;45.33;38.983;0;1;1;2;1
2924;СФО;Новосибирская область;Краснозерский;Краснозерское;53.983;79.233;0;1;0;1;1
2953;СФО;Красноярский край;Краснотуранский;Краснотуранск;54.316;91.55;0;0;1;1;1
2958;СФО;Алтайский край;Краснощековский;Краснощеково;51.666;82.733;0;0;1;1;1
